最終幻想-凱特(未上色塗鴉)|畫開心的a_a|#Meroz幻想-0.jpg|data/images/user_works/#Meroz幻想-0.jpg|最終幻想-凱特(上色塗鴉)|為了慶祝打上日版密銀位階的塗鴉,以穿著長靴的貓的姿態作為召喚獸登場|#Meroz幻想-1.jpg|data/images/user_works/#Meroz幻想-1.jpg|最終幻想-吉坦(上色塗鴉)|3/23的吉坦塗鴉,吉坦的動作敏捷且迅速，他能使出迅捷的攻擊，還能在一瞬間逃離戰鬥。|#Meroz幻想-2.jpg|data/images/user_works/#Meroz幻想-2.jpg
艾爾達利亞的軍勢-黃王|三王軍-黃王,黃光麾下面對黑暗無所畏懼|#Meroz三王軍-0.jpg|data/images/user_works/#Meroz三王軍-0.jpg|艾爾達利亞的軍勢-紅王|三王軍-紅王,紅焰襲捲前方黑暗盡成焦炭|#Meroz三王軍-1.jpg|data/images/user_works/#Meroz三王軍-1.jpg|艾爾達利亞的軍勢-藍王|三王軍-藍王,巨浪傾湧將至腳下黑暗碎骨粉身|#Meroz三王軍-2.jpg|data/images/user_works/#Meroz三王軍-2.jpg
悠遊台北系列-大金魚|台北出現了紅色大金魚, 天空很大無邊無際, 游泳翱翔的魚是自由的|#Crystal台北-0.jpg|data/images/user_works/#Crystal台北-0.jpg|悠遊台北系列-老建築|破敗的建築在許多人眼裡都是醜陋的,但在我眼裡卻是美的,因為再舊的建築都有屬於它的故事。|#Crystal台北-1.jpg|data/images/user_works/#Crystal台北-1.jpg|悠遊台北系列-大金魚|天空游來一條紅色大金魚,跨上魚背,一起游出台北城!|#Crystal台北-2.jpg|data/images/user_works/#Crystal台北-2.jpg
動物系列-狗|小心那雙水靈似黑洞般的眼,一沉迷彷彿被穿透了肉體直達靈魂,是一隻看透心的狗,你叫谷狗|#Crystal動物-0.jpg|data/images/user_works/#Crystal動物-0.jpg|動物系列-鼠|老鼠.老虎傻傻分不清楚,自稱動物之巔的人類也拿你沒轍,吃飯皇帝大,吃麵還加大,肥膩膩的老鼠最偉大|#Crystal動物-1.jpg|data/images/user_works/#Crystal動物-1.jpg|動物系列-馬|維京戰馬躍起伴隨一聲狂嘯,騎士無不瘋狂,衝向敵方,步步石破天驚,伏首稱臣吧!誰都馬擋不住我,我叫戰馬|#Crystal動物-2.jpg|data/images/user_works/#Crystal動物-2.jpg
晨浴系列|晨浴是為了走更長遠的路,一不小心睡著了也好,那就窩在水中繼續賴床吧ZzZzZz|#Crystal晨浴-0.jpg|data/images/user_works/#Crystal晨浴-0.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
新創塔羅牌|Finally!After 2 years,whole tarot major arcana deck has been finished. It will be published in summer 2018.|#Casimir塔羅-0.png|data/images/user_works/#Casimir塔羅-0.png|Null|Null|Null|data/images/user_works/#尚未上傳.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
臥佛先生(草稿)|臺灣城市有超水準的捷運文化，但總還是有帶著“神邏輯“的乘客們，讓捷運公司與其他乘客傷透腦筋。|#SanLogic臥佛-0.jpg|data/images/user_works/#SanLogic臥佛-0.jpg|臥佛先生(實作模型)|運用可以娛樂收藏的模型公仔傳達理念，讓我們帶著詼諧與風趣，一起轉化捷運上有著“神邏輯“的乘客們。|#SanLogic臥佛-1.jpg|data/images/user_works/#SanLogic臥佛-1.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
植物精靈-莉亞|從綠色洋桔梗花叢中誕生的精靈-莉亞,看似柔弱的細小手臂,其實隱藏有巨神力量,彈指之力即可震天憾地|#echo精靈-0.png|data/images/user_works/#echo精靈-0.png|植物精靈-蘇菲|從非洲紫羅蘭花叢中誕生的精靈-蘇菲,外表看似平凡無奇,天生喜歡到處歌唱,其實魔力藏於唇間,憤怒驚叫之力足以劈海裂地|#echo精靈-1.png|data/images/user_works/#echo精靈-1.png|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
眷侶|塗個我老公跟我，好久沒畫男生了最近把JOJO1~6部補完了，期待10月的新動畫!最喜歡承太郎了^///q///^|#echo眷侶-0.png|data/images/user_works/#echo眷侶-0.png|Null|Null|Null|data/images/user_works/#尚未上傳.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
少女前線-代理人|試著畫畫看全身黑的反派角色，好難QQ|#echo少女前線-0.png|data/images/user_works/#echo少女前線-0.png|Null|Null|Null|data/images/user_works/#尚未上傳.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
萬象物語-希歐(夜)|第一次畫夜景，感覺效果還不錯!|#echo希歐-0.jpg|data/images/user_works/#echo希歐-0.jpg|萬象物語-希歐(晨)|畫這張的時候，希歐也從未來的老婆變成現在的老婆了!>///<|#echo希歐-1.jpg|data/images/user_works/#echo希歐-1.jpg|Null|Null|Null|data/images/user_works/#尚未上傳.jpg
